line_id,variant_id,seq,city_id
VVO-KRSNDR-1,1,13,Боготол
VVO-KRSNDR-1,1,14,Кемерово
VVO-KRSNDR-1,1,15,Новосибирск
VVO-KRSNDR-1,1,16,Омск
VVO-KRSNDR-1,1,17,Курган
VVO-KRSNDR-1,1,18,Челябинск
VVO-KRSNDR-1,1,19,Уфа
VVO-KRSNDR-1,1,20,Тольятти
VVO-KRSNDR-1,1,21,Саратов
VVO-KRSNDR-1,1,22,Елец
VVO-KRSNDR-1,1,23,Воронеж
VVO-KRSNDR-1,1,24,Каменск-Шахтинский
VVO-KRSNDR-1,1,25,Ростов-на-Дону
VVO-KRSNDR-1,1,26,Краснодар

VVO-KRSNDR-2,1,1,Владивосток
VVO-KRSNDR-2,1,2,Уссурийск
VVO-KRSNDR-2,1,3,Хабаровск
VVO-KRSNDR-2,1,4,Биробиджан
VVO-KRSNDR-2,1,5,Благовещенск
VVO-KRSNDR-2,1,6,Свободный
VVO-KRSNDR-2,1,7,Сковородино
VVO-KRSNDR-2,1,8,Чита
VVO-KRSNDR-2,1,9,Улан-Удэ
VVO-KRSNDR-2,1,10,Иркутск
VVO-KRSNDR-2,1,11,Тулун
VVO-KRSNDR-2,1,12,Красноярск
VVO-KRSNDR-2,1,13,Боготол
VVO-KRSNDR-2,1,14,Кемерово
VVO-KRSNDR-2,1,15,Новосибирск
VVO-KRSNDR-2,1,16,Омск
VVO-KRSNDR-2,1,17,Курган
VVO-KRSNDR-2,1,18,Челябинск
VVO-KRSNDR-2,1,19,Уфа
VVO-KRSNDR-2,1,20,Тольятти
VVO-KRSNDR-2,1,21,Саратов
VVO-KRSNDR-2,1,22,Волгоград
VVO-KRSNDR-2,1,23,Каменск-Шахтинский
VVO-KRSNDR-2,1,24,Ростов-на-Дону
VVO-KRSNDR-2,1,25,Краснодар

VVO-KRSNDR-3,1,1,Владивосток
VVO-KRSNDR-3,1,2,Уссурийск
VVO-KRSNDR-3,1,3,Хабаровск
VVO-KRSNDR-3,1,4,Биробиджан
VVO-KRSNDR-3,1,5,Благовещенск
VVO-KRSNDR-3,1,6,Свободный
VVO-KRSNDR-3,1,7,Сковородино
VVO-KRSNDR-3,1,8,Чита
VVO-KRSNDR-3,1,9,Улан-Удэ
